data-name,data-rarity,title,data-type,data-manufacturer,data-elements,data-content,data-sources,data-locations
12 Pounder,c-rare,Dedicated Drop,launcher-bl2,torgue,explosive,pirates-booty,Big Sleep Boss,Hayter's Folly,splash-true parts-true dedicated-drop
Actualizer,g-seraph,Shop Item,smg-bl2,hyperion,non-elemental fire shock corrosive slag,pirates-booty,Hyperius Raid Boss   Oasis Seraph Shop Shop,Washburne Refinery Oasis,splash-false parts-true shop-item
Ahab,g-seraph,Dedicated Drop,launcher-bl2,torgue,explosive,pirates-booty,Master Gee Raid Boss   Oasis Seraph Shop Shop,Hayter's Folly Oasis,splash-true parts-true dedicated-drop
Amigo Sincero,f-legendary,Quest Reward,sniper-bl2,jakobs,non-elemental,fight-for-sanctuary,BFFFs Quest,The Backburner,splash-false parts-true quest-reward-bl2
Avenger,h-pearlescent,World Drop,smg-bl2,tediore,non-elemental fire shock corrosive slag,upgrade-pack-1,OMGWTH Boss   Chubby Spiderant Rare Spawn   Chubby Skag Rare Spawn   Chubby Varkid Rare Spawn,Digistruct Peak DAHL Abandon Arid Nexus Badlands Wam Bam Island,splash-false parts-true world-drop-bl2
Baby Maker,f-legendary,World Drop,smg-bl2,tediore,non-elemental fire shock corrosive slag,base-game,Madame Von Bartlesby Named Enemy,Tundra Express,splash-false parts-true world-drop-bl2
Bad Touch,d-epic,Shop Item,smg-bl2,maliwan,corrosive,base-game,Moxxi's Tip Jar Unique,Sanctuary,splash-false parts-true shop-item
Badaboom,f-legendary,World Drop,launcher-bl2,bandit,fire shock corrosive slag explosive,base-game,King Mong Rare Spawn,Eridium Blight,splash-true parts-true world-drop-bl2
Bane,c-rare,Quest Reward,smg-bl2,hyperion,fire shock corrosive slag,base-game,The Bane Quest,Sanctuary,splash-false parts-true quest-reward-bl2
Bearcat,h-pearlescent,World Drop,assault-rifle-bl2,dahl,non-elemental fire shock corrosive slag,upgrade-pack-1,OMGWTH Boss   Chubby Spiderant Rare Spawn   Chubby Skag Rare Spawn   Chubby Varkid Rare Spawn,Digistruct Peak DAHL Abandon Arid Nexus Badlands Wam Bam Island,splash-true parts-true world-drop-bl2
Bekah,h-pearlescent,Dedicated Drop,assault-rifle-bl2,jakobs,non-elemental,digistruct-peak,Chubby Spiderant Rare Spawn   Chubby Skag Rare Spawn   Chubby Varkid Rare Spawn   Chubby Bones Rare Spawn,DAHL Abandon Arid Nexus Badlands Wam Bam Island Unassuming Docks,splash-false parts-true dedicated-drop
Bitch,f-legendary,World Drop,smg-bl2,hyperion,non-elemental fire shock corrosive slag,base-game,BNK-3R Boss   Master Gee Raid Boss,The Bunker Hayter's Folly,splash-false parts-true world-drop-bl2
Blockhead,c-rare,Dedicated Drop,shotgun-bl2,tediore,fire,base-game,Badass Creeper Enemy,Caustic Caverns,splash-true parts-true dedicated-drop
