data-name,data-rarity,title,data-type,data-manufacturer,data-elements,data-content,data-sources,data-locations
Antifection,i-effervescent,Dedicated Drop,Area of Effect,Vladof,fire,fight-for-sanctuary dlc,Cassius Leclemaine Boss,Mt. Scarab Research Center
Bonus Package,f-legendary,World Drop,MIRV,Torgue,explosive,base-game base-game,Boom and Bewm Boss   Torgue Machine Shop,Southern Shelf Global - DLC 2
Bouncing Bonny,f-legendary,World Drop,Bouncing Betty,DAHL,explosive fire shock corrosive slag,base-game base-game,,
Breath of Terramorphous,e-tech,Dedicated Drop,Area of Effect,Vladof,fire,base-game base-game,Terramorphous Raid Boss,Terramorphous Peak
Chain Lightning,f-legendary,Dedicated Drop,Unique,Maliwan,shock,dragon-keep dlc,Sorcerer Enemy   Handsome Sorcerer Boss   Handsome Dragon Boss,Lair of Infinite Agony Dragon Keep Hatred's Shadow
Crossfire,g-seraph,Shop Item,Bouncing Betty,DAHL,explosive fire shock corrosive slag,campaign-of-carnage dlc,Crater Seraph Shop Shop,Badass Crater of Badassitude
Fastball,f-legendary,World Drop,Standard,Tediore,explosive fire shock corrosive,base-game base-game,Boll Named Enemy,Three Horns Divide
Fire Bee,f-legendary,World Drop,Area of Effect,Vladof,fire,base-game base-game,,
Fire Storm,f-legendary,Dedicated Drop,Unique,Maliwan,fire,dragon-keep dlc,Fire Mage Enemy   Handsome Sorcerer Boss   Handsome Dragon Boss,Lair of Infinite Agony Dragon Keep Hatred's Shadow
Fireball,c-rare,Dedicated Drop,Standard,Maliwan,fire,dragon-keep dlc,Fire Mage Enemy   Handsome Sorcerer Boss   Handsome Dragon Boss,Lair of Infinite Agony Dragon Keep Hatred's Shadow
Fuster Cluck,c-rare,Quest Reward,MIRV,Bandit,explosive fire shock corrosive slag,base-game base-game,The Pretty Good Train Robbery Quest,Tundra Express
Kiss of Death,c-rare,Quest Reward,Transfusion,Maliwan,explosive fire shock corrosive,base-game base-game,Hyperius Raid Boss   Hell Hath No Fury Quest,Washburne Refinery Opportunity
Leech,f-legendary,World Drop,Transfusion,Maliwan,fire shock corrosive,base-game base-game,The Warrior Boss   Handsome Sorcerer Boss,Vault of the Warrior Dragon Keep
Lightning Bolt,c-rare,Dedicated Drop,Unique,Maliwan,shock,dragon-keep dlc,Sorcerer Enemy   Handsome Sorcerer Boss   Handsome Dragon Boss,Lair of Infinite Agony Dragon Keep Hatred's Shadow
Magic Missile,d-epic,Dedicated Drop,Unique,Maliwan,slag,dragon-keep dlc,Wizard Enemy,Murderlin's Temple
Magic Missile,c-rare,Dedicated Drop,Unique,Maliwan,slag,dragon-keep dlc,Wizard Enemy   Handsome Sorcerer Boss   Handsome Dragon Boss,Murderlin's Temple Dragon Keep Hatred's Shadow
Meteor Shower,g-seraph,Shop Item,MIRV,Torgue,explosive,campaign-of-carnage dlc,Crater Seraph Shop Shop,Badass Crater of Badassitude
Midnight Star,c-rare,Quest Reward,MIRV,Torgue,explosive,pirates-booty dlc,Message in a Bottle: Magnys Lighthouse Quest,Magnys Lighthouse
Nasty Surprise,f-legendary,World Drop,MIRV,Hyperion,explosive fire shock corrosive slag,base-game base-game,Vermivorous Raid Boss,Wam Bam Island
O-Negative,g-seraph,Dedicated Drop,Transfusion,Maliwan,explosive fire shock corrosive slag,campaign-of-carnage dlc,Pyro Pete Raid Boss   Crater Seraph Shop Shop,Pyro Pete's Bar Badass Crater of Badassitude
Pandemic,f-legendary,World Drop,MIRV,Vladof,corrosive,base-game base-game,Mortar Named Enemy,Sawtooth Cauldron
Quasar,f-legendary,World Drop,Singularity,Hyperion,shock,base-game base-game,Ultimate Badass Varkid Enemy,Wam Bam Island
Rolling Thunder,f-legendary,World Drop,MIRV,Torgue,explosive,base-game base-game,Wilhelm Boss   Torgue Machine Shop,End of the Line Global - DLC 2
Storm Front,f-legendary,World Drop,Area of Effect,Vladof,shock,base-game base-game,The Splinter Group Named Enemy   Master Gee Raid Boss,Bloodshot Stronghold Hayter's Folly
The Electric Chair,i-effervescent,Dedicated Drop,Area of Effect,Vladof,shock,fight-for-sanctuary dlc,Uranus Boss,Helios Fallen
